EP:312, Avg_Score:785.1
EP:313, Avg_Score:2786.5
EP:314, Avg_Score:2831.4
EP:315, Avg_Score:1244.6
EP:316, Avg_Score:1732.2
EP:317, Avg_Score:1498.5
EP:318, Avg_Score:1179.1
EP:319, Avg_Score:2373.8
EP:320, Avg_Score:2245.8
EP:321, Avg_Score:1645.3
EP:322, Avg_Score:1964.9
EP:323, Avg_Score:690.0
EP:324, Avg_Score:1996.0
EP:325, Avg_Score:1207.9
EP:326, Avg_Score:324.7
EP:327, Avg_Score:1489.5
EP:328, Avg_Score:1876.7
EP:329, Avg_Score:2948.4
EP:330, Avg_Score:1405.5
EP:331, Avg_Score:2177.5
EP:332, Avg_Score:2053.0
EP:333, Avg_Score:2135.1
EP:334, Avg_Score:-349.1
EP:335, Avg_Score:-299.1
EP:336, Avg_Score:1833.7
EP:337, Avg_Score:1748.3
EP:338, Avg_Score:1006.0
EP:339, Avg_Score:1085.9
EP:340, Avg_Score:2362.7
EP:341, Avg_Score:439.9
EP:342, Avg_Score:-443.9
EP:343, Avg_Score:2855.4
EP:344, Avg_Score:1802.9
EP:345, Avg_Score:2420.6
EP:346, Avg_Score:1931.0
EP:347, Avg_Score:1411.4
EP:348, Avg_Score:2865.5
EP:349, Avg_Score:860.9
EP:350, Avg_Score:2049.1
EP:351, Avg_Score:1119.3
EP:352, Avg_Score:854.6
EP:353, Avg_Score:869.5
EP:354, Avg_Score:1575.2
EP:355, Avg_Score:2491.3
EP:356, Avg_Score:1177.6
EP:357, Avg_Score:2327.6
EP:358, Avg_Score:-2302.4
EP:359, Avg_Score:1996.5
EP:360, Avg_Score:1022.5
EP:361, Avg_Score:-219.3
EP:362, Avg_Score:220.4
EP:363, Avg_Score:1157.2
EP:364, Avg_Score:2193.7
EP:365, Avg_Score:1370.9
EP:366, Avg_Score:1818.8
EP:367, Avg_Score:1116.3
EP:368, Avg_Score:1545.1
EP:369, Avg_Score:1336.2
EP:370, Avg_Score:2509.4
EP:371, Avg_Score:1477.0
EP:372, Avg_Score:2892.6
EP:373, Avg_Score:1173.6
EP:374, Avg_Score:-2107.0
EP:375, Avg_Score:1477.0
EP:376, Avg_Score:2057.6
EP:377, Avg_Score:860.9
EP:378, Avg_Score:2406.5
EP:379, Avg_Score:1698.7
EP:380, Avg_Score:1724.6
EP:381, Avg_Score:2680.1
EP:382, Avg_Score:1433.4
EP:383, Avg_Score:1821.3
EP:384, Avg_Score:1088.0
EP:385, Avg_Score:2705.2
EP:386, Avg_Score:384.7
EP:387, Avg_Score:2484.8
EP:388, Avg_Score:2294.1
EP:389, Avg_Score:2158.4
EP:390, Avg_Score:2230.8
EP:391, Avg_Score:1152.9
